㐖毒	het dowk	Xie2 du2	/India (archaic)/
班師	paen srij	ban1 shi1	/to withdraw troops from the front/to return in triumph/
班底	paen tejX	ban1 di3	/ordinary members of theatrical troupe/
班戈	paen kwa	Ban1 ge1	/Baingoin county, Tibetan: Dpal mgon rdzong, in Nagchu prefecture 那曲地區|那曲地区[Na4 qu3 di4 qu1], central Tibet/
班期	paen gi	ban1 qi1	/schedule (for flight, voyage etc)/
班機	paen kj+j	ban1 ji1	/airliner/(regular) flight/CL:趟[tang4],次[ci4],班[ban1]/
班檯	paen doj	ban1 tai2	/office desk/
班次	paen tshijH	ban1 ci4	/grade/class number (in school)/flight or run number/flight or run (seen as an item)/shift (work period)/
班白	paen baek	ban1 bai2	/variant of 斑白[ban1 bai2]/
班竹	paen trjuwk	Ban1 zhu2	/Banjul, capital of Gambia (Tw)/
班級	paen kip	ban1 ji2	/class (group of students)/grade (in school)/
班組	paen tsuX	ban1 zu3	/group or team (in factories etc)/
班線	paen sjenH	ban1 xian4	/route (of a bus etc)/
班花	paen xwae	ban1 hua1	/the prettiest girl in the class/
班草	paen tshawX	ban1 cao3	/the most handsome boy in the class/
班超	paen trhjew	Ban1 Chao1	/Ban Chao (33-102), noted Han diplomat and military man/
班輩	paen pwojH	ban1 bei4	/seniority in the family/pecking order/
班輪	paen lwin	ban1 lun2	/regular passenger or cargo ship/regular steamship service/
班駁	paen paewk	ban1 bo2	/variant of 斑駁|斑驳[ban1 bo2]/
珮林	bwojH lim	Pei4 lin2	/Palin (name)/Sarah Palin (1964-), US Republican politician, state governor of Alaska 2006-2009/
現今	henH kim	xian4 jin1	/now/nowadays/modern/
現付	henH pjuH	xian4 fu4	/to pay on the spot/
現代	henH dojH	Xian4 dai4	/Hyundai, South Korean company/
現代	henH dojH	xian4 dai4	/modern times/modern age/modern era/
現值	henH driH	xian4 zhi2	/present value/
現場	henH drjang	xian4 chang3	/the scene (of a crime, accident etc)/(on) the spot/(at) the site/
現存	henH dzwon	xian4 cun2	/extant/existent/in stock/
現實	henH zyit	xian4 shi2	/reality/actuality/real/actual/realistic/pragmatic/materialistic/self-interested/
現年	henH nen	xian4 nian2	/(a person's) current age/
現形	henH heng	xian4 xing2	/to become visible/to appear/to manifest one's true nature/
現役	henH ywek	xian4 yi4	/(military) active duty/
現成	henH dzyeng	xian4 cheng2	/ready-made/readily available/
現時	henH dzyi	xian4 shi2	/current/
現有	henH hjuwX	xian4 you3	/currently existing/currently available/
現款	henH khwanX	xian4 kuan3	/cash/
現況	henH xjwangH	xian4 kuang4	/the current situation/
現狀	henH dzrjangH	xian4 zhuang4	/current situation/
現眼	henH ngeanX	xian4 yan3	/to embarrass oneself/to make a fool of oneself/
現象	henH zjangX	xian4 xiang4	/phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance/
現貨	henH xwaH	xian4 huo4	/merchandise or commodities available immediately after sale/merchandise in stock/available item/actuals (investment)/actual commodities/
現身	henH syin	xian4 shen1	/to show oneself/to appear/(of a deity) to appear in the flesh/
現金	henH kim	xian4 jin1	/cash/
球友	gjuw hjuwX	qiu2 you3	/(ball game) enthusiast (player)/golf buddy (or tennis buddy etc)/
球員	gjuw hjun	qiu2 yuan2	/sports club member/footballer, golfer etc/
球場	gjuw drjang	qiu2 chang3	/stadium/sports ground/court/pitch/field/golf course/CL:個|个[ge4],處|处[chu4]/
球季	gjuw kjwijH	qiu2 ji4	/season (of baseball, football etc)/
球座	gjuw dzwaH	qiu2 zuo4	/tee (golf)/
球形	gjuw heng	qiu2 xing2	/spherical/ball-shaped/
球感	gjuw komX	qiu2 gan3	/ball sense/feel for the ball/
球拍	gjuw phaek	qiu2 pai1	/racket/
球星	gjuw seng	qiu2 xing1	/sports star (ball sport)/
球杆	gjuw kanH	qiu2 gan1	/club (golf)/cue (billiards)/also written 球桿|球杆[qiu2 gan1]/
球棍	gjuw hwonX	qiu2 gun4	/(sport) club/bat/
球棒	gjuw baewngX	qiu2 bang4	/baseball bat/cricket bat/
球檯	gjuw doj	qiu2 tai2	/table (for games using balls)/
球狀	gjuw dzrjangH	qiu2 zhuang4	/sphere/
球瓶	gjuw beng	qiu2 ping2	/pin (ten-pin bowling)/
球童	gjuw duwng	qiu2 tong2	/ball boy (tennis)/caddie (golf)/
球竿	gjuw kan	qiu2 gan1	/cue (billiards)/club (golf)/stick (hockey)/
球籍	gjuw dzjek	qiu2 ji2	/(a nation's or an individual's) citizenship of the planet/
球網	gjuw mjangX	qiu2 wang3	/net (for ball games)/
球菌	gjuw gwinX	qiu2 jun1	/coccus (spherical bacteria pathogen)/
球賽	gjuw sojH	qiu2 sai4	/sports match/ballgame/CL:場|场[chang3]/
球迷	gjuw mej	qiu2 mi2	/fan (ball sports)/CL:個|个[ge4]/
球道	gjuw dawX	qiu2 dao4	/fairway (golf)/lane (ten-pin bowling)/
球門	gjuw mwon	qiu2 men2	/goalmouth (in soccer)/
球隊	gjuw dwojH	qiu2 dui4	/sports team (basketball, soccer, football etc)/
球面	gjuw mjienH	qiu2 mian4	/sphere/
球類	gjuw lwijH	qiu2 lei4	/ball sports/
球館	gjuw kwanH	qiu2 guan3	/(sports) arena/
球體	gjuw thejX	qiu2 ti3	/spheroid/
理光	liX kwang	Li3 guang1	/Ricoh, Japanese imaging and electronics company/
理兒	liX nye	li3 r5	/reason/
理則	liX tsok	li3 ze2	/principle/logic/
理化	liX xwaeH	li3 hua4	/physical and chemical/
理喻	liX yuH	li3 yu4	/to reason with sb/
理塘	liX dang	Li3 tang2	/Litang county (Tibetan: li thang rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], Sichuan (formerly in Kham province of Tibet)/
理學	liX haewk	Li3 xue2	/School of Principle/Neo-Confucian Rationalistic School (from Song to mid-Qing times, c. 1000-1750, typified by the teachings of Cheng Hao 程顥|程颢[Cheng2 Hao4], Cheng Yi 程頤|程颐[Cheng2 Yi2] and Zhu Xi 朱熹[Zhu1 xi1])/
理學	liX haewk	li3 xue2	/science/
理工	liX kuwng	li3 gong1	/science and engineering as academic subjects/
理念	liX nemH	li3 nian4	/idea/concept/philosophy/theory/
理性	liX sjengH	li3 xing4	/reason/rationality/rational/
理想	liX sjangX	li3 xiang3	/an ideal/a dream/ideal/perfect/
理據	liX kjoH	li3 ju4	/grounds/justification/logical basis/(linguistic) motivation/
理智	liX trjeH	li3 zhi4	/reason/intellect/rationality/rational/
理由	liX yuw	li3 you2	/reason/grounds/justification/CL:個|个[ge4]/
理療	liX ljewH	li3 liao2	/physiotherapy/
理科	liX khwa	li3 ke1	/the sciences (as opposed to the humanities 文科[wen2 ke1])/
理虧	liX khjwe	li3 kui1	/in the wrong/
理財	liX dzoj	li3 cai2	/financial management/finance/
理路	liX luH	li3 lu4	/logical thinking/
理順	liX zywinH	li3 shun4	/to straighten out/to sort out/to organize/
理頭	liX duw	li3 tou2	/to have a haircut/to cut sb's hair/
理髮	liX pjot	li3 fa4	/a barber/hairdressing/
琥珀	xuX phaek	hu3 po4	/amber/
琳瑯	lim lang	lin2 lang2	/glittering jewels/
琴師	gim srij	qin2 shi1	/player of a stringed instrument/
琴弦	gim hen	qin2 xian2	/string (of a stringed instrument)/
琴手	gim syuwX	qin2 shou3	/player of a stringed instrument/
琴書	gim syo	qin2 shu1	/traditional art form, consisting of sung story telling with musical accompaniment/
琴瑟	gim srit	qin2 se4	/qin and se, two string instruments that play in perfect harmony/marital harmony/
琴酒	gim tsjuwX	qin2 jiu3	/gin (Taiwan variant of 金酒[jin1 jiu3])/
琴鳥	gim tewX	qin2 niao3	/lyrebird/
琵琶	bjij bae	pi2 pa5	/pipa, Chinese lute, with 4 strings, a large pear-shaped body and a fretted fingerboard/
琵鷺	bjij luH	pi2 lu4	/spoonbill (wading bird of the family Threskiornithidae)/
琶音	bae ’im	pa2 yin1	/(music) arpeggio/
琿春	hwon tsyhwin	Hun2 chun1	/Hunchun county level city in Yanbian Korean autonomous prefecture 延邊朝鮮族自治州|延边朝鲜族自治州, Jilin/
瑕玷	hae temX	xia2 dian4	/blemish/flaw/
瑕疵	hae dzje	xia2 ci1	/blemish/flaw/defect/
瑜伽	yu gja	yu2 jia1	/yoga (loanword)/
瑜珈	yu kae	yu2 jia1	/variant of 瑜伽[yu2 jia1]/yoga/
瑜迦	yu kae	yu2 jia1	/yoga (loanword)/
瑞亞	dzyweH ’aeH	Rui4 ya4	/Rhea (Titaness of Greek mythology)/
瑞典	dzyweH tenX	Rui4 dian3	/Sweden/
瑞士	dzyweH dzriX	Rui4 shi4	/Switzerland/
瑞安	dzyweH ’an	Rui4 an1	/Rui'an county level city in Wenzhou 溫州|温州[Wen1 zhou1], Zhejiang/
瑞昌	dzyweH tsyhang	Rui4 chang1	/Ruichang county level city in Jiujiang 九江, Jiangxi/
瑞朗	dzyweH langX	Rui4 lang3	/Swiss franc/
瑞爾	dzyweH nyeX	rui4 er3	/riel (Cambodian currency)/
瑞獅	dzyweH srij	Rui4 Shi1	/Rui Shi, Auspicious Lions of Chinese mythology/
瑞獸	dzyweH syuwH	rui4 shou4	/auspicious animal (such as the dragon)/
瑞穗	dzyweH zwijH	Rui4 sui4	/Ruisui or Juisui township in Hualien County 花蓮縣|花莲县[Hua1 lian2 Xian4], east Taiwan/
瑞色	dzyweH srik	rui4 se4	/lovely color/
瑞芳	dzyweH phjang	Rui4 fang1	/Ruifang or Juifang town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan/
瑞薩	dzyweH sat	Rui4 sa4	/Renesas Electronics (Japanese microchip company)/
瑞金	dzyweH kim	Rui4 jin1	/Ruijin county level city in Ganzhou 贛州|赣州, Jiangxi/
瑞雪	dzyweH sjwet	rui4 xue3	/timely snow/
瑞香	dzyweH xjang	rui4 xiang1	/winter daphne/
瑟瑟	srit srit	se4 se4	/trembling/rustling/
瑟縮	srit srjuwk	se4 suo1	/to curl up shivering (from cold)/timid and trembling (in fear)/to shrink/to cower/
瑣屑	swaX set	suo3 xie4	/trivial matters/petty things/
瑣碎	swaX swojH	suo3 sui4	/trifling/trivial/tedious/inconsequential/
瑣細	swaX sejH	suo3 xi4	/trivial/
瑣記	swaX kiH	suo3 ji4	/fragmentary recollections/miscellaneous notes/
瑤族	yew dzuwk	Yao2 zu2	/Yao ethnic group of southwest China and southeast Asia/
瑤池	yew drje	Yao2 chi2	/the Jade lake on Mount Kunlun, residence of Xi Wangmu 西王母/
瑤海	yew xojX	Yao2 hai3	/Yaohai district of Hefei city 合肥市[He2 fei2 shi4], Anhui/
璀璀	tshwojX tshwojX	cui3 cui3	/bright and clear/
璀璨	tshwojX tshanH	cui3 can4	/bright/resplendent/
璧山	pjiek srean	Bi4 shan1	/Bishan suburban county in Chongqing municipality, formerly in Sichuan/
璧玉	pjiek ngjowk	bi4 yu4	/jade disk with a hole in the center/
璧謝	pjiek zjaeH	bi4 xie4	/decline (a gift) with thanks/
璨玉	tshanH ngjowk	can4 yu4	/lustrous jade/
璨璨	tshanH tshanH	can4 can4	/very bright/
璨美	tshanH mijX	can4 mei3	/resplendent/
環保	hwaen pawX	huan2 bao3	/environmental protection/environmentally friendly/abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]/
環化	hwaen xwaeH	huan2 hua4	/to cyclize/cyclization (chemistry)/
環城	hwaen dzyeng	huan2 cheng2	/encircling the city (of walls, ring road etc)/around the city/
環境	hwaen kjaengX	huan2 jing4	/environment/circumstances/surroundings/CL:個|个[ge4]/ambient/
環帶	hwaen tajH	huan2 dai4	/clitellum (worm anatomy)/
環幕	hwaen mak	huan2 mu4	/360° cinema screen/
環形	hwaen heng	huan2 xing2	/ring-shaped/
環抱	hwaen bawX	huan2 bao4	/to encircle/surrounded by/
環江	hwaen kaewng	Huan2 jiang1	/Huanjiang Maonanzu autonomous county in Guangxi/
環法	hwaen pjop	Huan2 Fa3	/Tour de France cycle race/abbr. for 環法自行車賽|环法自行车赛/
環烴	hwaen kengX	huan2 ting1	/cyclic hydrocarbon (i.e. involving benzene ring)/
環狀	hwaen dzrjangH	huan2 zhuang4	/annular/toroidal/loop-shaped/ring-like/
環球	hwaen gjuw	huan2 qiu2	/around the world/worldwide/
環箍	hwaen ku	huan2 gu1	/a hoop/
環節	hwaen tset	huan2 jie2	/(zoology) segment (of the body of a worm, centipede etc)/(fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process), etc/
環線	hwaen sjenH	huan2 xian4	/ring road/circle line (e.g. rail or subway)/
環翠	hwaen tshwijH	Huan2 cui4	/Huancui district of Weihai city 威海市, Shandong/
環肌	hwaen kjij	huan2 ji1	/circular muscle/
環路	hwaen luH	huan2 lu4	/ring road/closed circuit/loop/
環遊	hwaen yuw	huan2 you2	/to travel around (the world, a country etc)/
環面	hwaen mjienH	huan2 mian4	/ring surface/annulus/torus (math.)/
環顧	hwaen kuH	huan2 gu4	/to look around/to survey/
璽印	sjeX ’jinH	xi3 yin4	/seal (esp. of ruler)/
瓊中	gjwieng trjuwng	Qiong2 zhong1	/Qiongzhong Li and Miao autonomous county, Hainan/
瓊山	gjwieng srean	Qiong2 shan1	/Qiongshan district of Haikou city 海口市[Hai3 kou3 shi4], Hainan/
瓊州	gjwieng tsyuw	Qiong2 zhou1	/Qiongzhou, historic name for Hainan Island 海南島|海南岛[Hai3 nan2 Dao3]/
瓊斯	gjwieng sje	Qiong2 si1	/Jones (name)/
瓊海	gjwieng xojX	Qiong2 hai3	/Qionghai City, Hainan/
瓊瑛	gjwieng ’jaeng	qiong2 ying1	/jade-like stone/
瓊瑤	gjwieng yew	Qiong2 Yao2	/Chiung Yao (1938-), Taiwanese writer/
瓊筵	gjwieng yen	qiong2 yan2	/banquet/elaborate feast/
瓊結	gjwieng ket	Qiong2 jie2	/Qonggyai county, Tibetan: 'Phyongs rgyas, in Lhokha prefecture 山南地區|山南地区[Shan1 nan2 di4 qu1], Tibet/
瓊脂	gjwieng tsyij	qiong2 zhi1	/agar/
瓔珞	’jieng lak	ying1 luo4	/jade or pearl necklace/
瓜代	kwae dojH	gua1 dai4	/a changeover of personnel/a new shift/(lit.) replacement for soldier on leave for the melon-picking season/
瓜子	kwae tsiX	gua1 zi3	/melon seeds/
瓜州	kwae tsyuw	Gua1 zhou1	/Guazhou county in Jiuquan 酒泉, Gansu/
瓜果	kwae kwaX	gua1 guo3	/fruit (plural sense)/melons and fruit/
瓜臍	kwae dzej	gua1 qi2	/the umbilicus of a melon/
瓜菜	kwae tshojH	gua1 cai4	/fruit and vegetables/
瓜葛	kwae kat	gua1 ge2	/intertwined (as melon and vine plants)/interconnected/association (of two things)/
瓜農	kwae nowng	gua1 nong2	/melon farmer/
瓣胃	beanH hjw+jH	ban4 wei4	/omasum (third compartment of a ruminant's stomach)/
瓤兒	nyang nye	rang2 r5	/erhua variant of 瓤[rang2]/
瓶子	beng tsiX	ping2 zi5	/bottle/CL:個|个[ge4]/
瓶盂	beng hju	ping2 yu2	/jar/flask/vase/bottle/
瓶領	beng ljengX	ping2 ling3	/bottleneck/
瓷器	dzij khijH	ci2 qi4	/chinaware/porcelain/
瓷實	dzij zyit	ci2 shi5	/(dialect) firm/robust/
瓷瓶	dzij beng	ci2 ping2	/porcelain bottle/
甌海	’uw xojX	Ou1 hai3	/Ouhai district of Wenzhou city 溫州市|温州市[Wen1 zhou1 shi4], Zhejiang/
甕城	’uwngH dzyeng	weng4 cheng2	/enceinte of a city gate/barbican entrance to a city/
甕安	’uwngH ’an	Weng4 an1	/Wengan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qian2 nan2 zhou1], Guizhou/
甕菜	’uwngH tshojH	weng4 cai4	/variant of 蕹菜[weng4 cai4]/
甘南	kam nom	Gan1 nan2	/Gannan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang/
甘味	kam mj+jH	gan1 wei4	/sweetness/sweet taste/
甘地	kam dijH	Gan1 di4	/(Mahatma) Gandhi/
甘孜	kam tsi	Gan1 zi1	/Garze or Kandze, capital of Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], formerly in Kham province of Tibet, present Sichuan/
甘州	kam tsyuw	Gan1 zhou1	/Ganzhou district of Zhangye city 張掖市|张掖市[Zhang1 ye4 shi4], Gansu/
甘德	kam tok	Gan1 de2	/Gadê or Gande county (Tibetan: dga' bde rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai/
甘心	kam sim	gan1 xin1	/to be willing to/to resign oneself to/
甘汞	kam huwngX	gan1 gong3	/calomel or mercurous chloride (Hg2Cl2)/
甘油	kam yuw	gan1 you2	/glycerine/glycerol/
甘泉	kam dzjwen	Gan1 quan2	/Ganquan county in Yan'an 延安[Yan2 an1], Shaanxi/
甘洛	kam lak	Gan1 luo4	/Ganluo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liang2 shan1 Yi2 zu2 zi4 zhi4 zhou1], south Sichuan/
甘甜	kam dem	gan1 tian2	/sweet/
甘肅	kam sjuwk	Gan1 su4	/Gansu province, abbr. 甘[Gan1], short name 隴|陇[Long3], capital Lanzhou 蘭州|兰州[Lan2 zhou1]/
甘草	kam tshawX	gan1 cao3	/licorice root/
甘菊	kam kjuwk	gan1 ju2	/chamomile/
甘蔗	kam tsyaeH	gan1 zhe5	/sugar cane/CL:節|节[jie2]/
甘薯	kam dzyoH	gan1 shu3	/sweet potato/Ipomoea batatas/
甘藍	kam lam	gan1 lan2	/cabbage/Chinese broccoli/gai larn/
甘願	kam ngjwonH	gan1 yuan4	/willingly/
甜味	dem mj+jH	tian2 wei4	/sweetness/
甜品	dem phimX	tian2 pin3	/dessert/
甜心	dem sim	tian2 xin1	/delighted to oblige/sweetheart/
甜潤	dem nywinH	tian2 run4	/sweet and mellow/fresh and moist (air)/
甜瓜	dem kwae	tian2 gua1	/muskmelon/
甜睡	dem dzyweH	tian2 shui4	/to sleep soundly/
甜稚	dem drijH	tian2 zhi4	/sweet and innocent/
甜美	dem mijX	tian2 mei3	/sweet/pleasant/happy/
甜膩	dem nrijH	tian2 ni4	/sweet and unctuous/(fig.) overly sentimental/
甜菊	dem kjuwk	tian2 ju2	/Stevia, South American sunflower genus/sugarleaf (Stevia rebaudiana), bush whose leaves produce sugar substitute/
甜菜	dem tshojH	tian2 cai4	/beet/beetroot/
甜蜜	dem mjit	tian2 mi4	/sweet/happy/
甜言	dem ngjon	tian2 yan2	/sweet words/fine talk/
甜豆	dem duwH	tian2 dou4	/sugar snap pea/
甜酒	dem tsjuwX	tian2 jiu3	/sweet liquor/
甜酸	dem swan	tian2 suan1	/sweet and sour/
甜頭	dem duw	tian2 tou5	/sweet taste (of power, success etc)/benefit/
甜點	dem temX	tian2 dian3	/dessert/
用于	yowngH hju	yong4 yu2	/use in/use on/use for/
用人	yowngH nyin	yong4 ren2	/servant/to employ sb for a job/to manage people/to be in need of staff/
用以	yowngH yiX	yong4 yi3	/in order to/so as to/
用來	yowngH loj	yong4 lai2	/to be used for/
用光	yowngH kwang	yong4 guang1	/out of (supply)/spent/exhausted (used up)/depleted/
用具	yowngH gjuH	yong4 ju4	/appliance/utensil/gear/equipment/
用力	yowngH lik	yong4 li4	/to exert oneself physically/
用功	yowngH kuwng	yong4 gong1	/diligent/industrious (in one's studies)/to study hard/to make great effort/
用命	yowngH mjaengH	yong4 ming4	/to follow orders/to abide by/to obey/
用品	yowngH phimX	yong4 pin3	/articles for use/products/goods/
用場	yowngH drjang	yong4 chang3	/use/application/Taiwan pr. [yong4 chang2]/
用字	yowngH dziH	yong4 zi4	/to use letters/to use words/diction/
用完	yowngH hwan	yong4 wan2	/used up/finished/
用心	yowngH sim	yong4 xin1	/motive/intention/to be diligent or attentive/careful/
用意	yowngH ’iH	yong4 yi4	/intention/purpose/
用法	yowngH pjop	yong4 fa3	/usage/
用膳	yowngH dzyenH	yong4 shan4	/to dine/
用計	yowngH kejH	yong4 ji4	/to employ a stratagem/
用詞	yowngH zi	yong4 ci2	/usage (of a term)/wording/phrasing/
用途	yowngH du	yong4 tu2	/use/application/
用間	yowngH keanH	yong4 jian4	/using spies/
用項	yowngH haewngX	yong4 xiang4	/items of expenditure/expenditures/
用餐	yowngH tshan	yong4 can1	/to eat a meal/
甫一	pjuX ’jit	fu3 yi1	/as soon as/immediately after/
甬江	yowngX kaewng	Yong3 jiang1	/the Yongjiang river through Ningbo 寧波|宁波[Ning2 bo1]/
甬路	yowngX luH	yong3 lu4	/paved path/
甬道	yowngX dawX	yong3 dao4	/walled-in path/paved pathway/canopied passageway/corridor/tunnel/
田七	den tshit	tian2 qi1	/pseudo-ginseng/radix notoginseng/
田亮	den ljangH	Tian2 Liang4	/Tian Liang (1979-), former male Chinese diver, Olympic medalist/
田園	den hjwon	tian2 yuan2	/fields/countryside/rural/bucolic/
田地	den dijH	tian2 di4	/field/farmland/cropland/plight/extent/
田寮	den lew	Tian2 liao2	/Tianliao or Tienliao township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
田尾	den mj+jX	Tian2 wei3	/Tienwei township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan/
田役	den ywek	tian2 yi4	/farm work/
田徑	den kengH	tian2 jing4	/track and field (athletics)/
田文	den mjun	Tian2 wen2	/birth name of Lord Menchang of Qi, Chancellor of Qi and Wei during the Warring States Period (475-221 BC)/
田村	den tshwon	Tian2 cun1	/Tamura (Japanese surname and place name)/
田東	den tuwng	Tian2 dong1	/Tiandong county in Baise 百色[Bai3 se4], Guangxi/
田林	den lim	Tian2 lin2	/Tianlin county in Baise 百色[Bai3 se4], Guangxi/
田漢	den xanH	Tian2 Han4	/Tian Han (1898-1968), author of the words of the PRC national anthem March of the Volunteer Army 義勇軍進行曲|义勇军进行曲/
田灣	den ’waen	Tian2 wan1	/Tianwan in Lianyungang 連雲港|连云港, site of large nuclear power plant/
田營	den yweng	Tian2 ying2	/Tianying city in Anhui, having lead processing plants that produce substantial pollution/
田獵	den ljep	tian2 lie4	/to hunt/
田舍	den syaeX	tian2 she4	/farmhouse/
田螺	den lwa	tian2 luo2	/river snail/
田賦	den pjuH	tian2 fu4	/land tax/
田賽	den sojH	tian2 sai4	/field events (athletics competition)/
田間	den keanH	tian2 jian1	/field/farm/farming area/village/
田陌	den maek	tian2 mo4	/path between fields/fields/
田陽	den yang	Tian2 yang2	/Tianyang county in Baise 百色[Bai3 se4], Guangxi/
田雞	den kej	tian2 ji1	/frog/the Chinese edible frog (Hoplobatrachus rugulosus)/
田鵐	den mju	tian2 wu2	/(bird species of China) rustic bunting (Emberiza rustica)/
田鶇	den tuwng	tian2 dong1	/(bird species of China) fieldfare (Turdus pilaris)/
田鼠	den syoX	tian2 shu3	/vole/
由來	yuw loj	you2 lai2	/origin/
由徑	yuw kengH	you2 jing4	/to follow a narrow path/
由旬	yuw zwin	you2 xun2	/yojana (Vedic measure, about 8 miles)/
由此	yuw tshjeX	you2 ci3	/hereby/from this/
由頭	yuw duw	you2 tou5	/pretext/excuse/justification/reason/
甲乙	kaep ’it	jia3 yi3	/first two of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/
甲仙	kaep sjen	Jia3 xian1	/Jiaxian or Chiahsien township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan/
甲冑	kaep drjuwH	jia3 zhou4	/variant of 甲胄[jia3 zhou4]/
甲午	kaep nguX	jia3 wu3	/thirty-first year A7 of the 60 year cycle, e.g. 1954 or 2014/
甲型	kaep heng	jia3 xing2	/type A/type I/alpha-/
甲基	kaep ki	jia3 ji1	/methyl group (chemistry)/
甲子	kaep tsiX	jia3 zi3	/first year of the sixty-year cycle (where each year is numbered with one of the 10 heavenly stems 天干[tian1 gan1] and one of the 12 earthly branches 地支[di4 zhi1])/the sixty-year cycle/
甲戌	kaep swit	jia3 xu1	/eleventh year A11 of the 60 year cycle, e.g. 1994 or 2054/
甲板	kaep paenX	jia3 ban3	/deck (of a boat etc)/
甲流	kaep ljuw	jia3 liu2	/type A influenza/abbr. for 甲型H1N1流感/refers to H1N1 influenza of 2009/
甲狀	kaep dzrjangH	jia3 zhuang4	/thyroid (gland)/
甲申	kaep syin	jia3 shen1	/21st year A9 of the 60 year cycle, e.g. 2004 or 2064/
甲第	kaep dejH	jia3 di4	/residence of a noble/top candidate in the imperial examinations/
甲等	kaep tongX	jia3 deng3	/grade A/first-class/
甲級	kaep kip	jia3 ji2	/first rate/top class/excellent/
甲紫	kaep tsjeX	jia3 zi3	/gentian violet/
甲肝	kaep kan	jia3 gan1	/hepatitis A/
甲胄	kaep drjuwH	jia3 zhou4	/armor/
甲胺	kaep ’at	jia3 an4	/methylamine/
甲苯	kaep pwonX	jia3 ben3	/toluene C6H5CH3/methylbenzene/
甲辰	kaep dzyin	jia3 chen2	/41st year A5 of the 60 year cycle, e.g. 1964 or 2024/
甲酸	kaep swan	jia3 suan1	/formylic acid (HCOOH)/formic acid/methanoic acid/
甲醇	kaep dzywin	jia3 chun2	/methyl alcohol/methanol CH3OH/wood alcohol/wood spirit/
甲骨	kaep kwot	jia3 gu3	/tortoise shell and animal bones used in divination/oracle bone inscriptions (an early form of Chinese script)/
甲魚	kaep ngjo	jia3 yu2	/turtle/terrapin/Taiwan pr. [jia4 yu2]/
申冤	syin ’jwon	shen1 yuan1	/to appeal for justice/to demand redress for a grievance/
申城	syin dzyeng	Shen1 cheng2	/alternative name for Shanghai 上海[Shang4 hai3]/alternative name for Xinyang City, Henan 信陽市|信阳市[Xin4 yang2 Shi4]/
申報	syin pawH	shen1 bao4	/to report (to the authorities)/to declare (to customs)/
申奏	syin tsuwH	shen1 zou4	/to present (a document)/to submit (a petition)/
申扎	syin tsreat	Shen1 zha1	/Xainza county, Tibetan: Shan rtsa rdzong, in Nagchu prefecture 那曲地區|那曲地区[Na4 qu3 di4 qu1], central Tibet/
申明	syin mjaeng	shen1 ming2	/to declare/to aver/to state formally/
申時	syin dzyi	shen1 shi2	/3-5 pm (in the system of two-hour subdivisions used in former times)/
申曲	syin khjowk	shen1 qu3	/Shanghai opera/same as 滬劇|沪剧/
申根	syin kon	Shen1 gen1	/Schengen, village in Luxemburg, location of the 1985 signing of the agreement to create the Schengen area 申根區|申根区[Shen1 gen1 qu1]/
申狀	syin dzrjangH	shen1 zhuang4	/to present (a document)/to submit (a petition)/
申猴	syin huw	shen1 hou2	/Year 9, year of the Monkey (e.g. 2004)/
申理	syin liX	shen1 li3	/to right a wrong/to seek justice/
申申	syin syin	shen1 shen1	/cozy and comfortable/to repeat endlessly/
申言	syin ngjon	shen1 yan2	/to profess/to declare/
申討	syin thawX	shen1 tao3	/to denounce/
申訴	syin suH	shen1 su4	/to file a complaint/to appeal (to an authority, a higher court of justice etc)/complaint/appeal/
申謝	syin zjaeH	shen1 xie4	/to express gratitude/to thank/
申購	syin kuwH	shen1 gou4	/to ask to buy/to bid for purchase/
申辦	syin beanH	shen1 ban4	/to apply for/to bid for/
申辯	syin bjenX	shen1 bian4	/to defend oneself/to rebut a charge/
申述	syin zywit	shen1 shu4	/to state/to assert/to allege/to specify/
申通	syin thuwng	Shen1 tong1	/STO Express, courier service headquartered in Shanghai, founded in 1993/
申雪	syin sjwet	shen1 xue3	/to right a wrong/to redress an injustice/
申領	syin ljengX	shen1 ling3	/to apply (for license, visa etc)/
申飭	syin trhik	shen1 chi4	/to warn/to blame/to rebuke/also written 申斥/
男人	nom nyin	nan2 ren2	/a man/a male/men/CL:個|个[ge4]/
男友	nom hjuwX	nan2 you3	/boyfriend/
男同	nom duwng	nan2 tong2	/gay guy (coll.)/
